NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	
EMR3	55.17004911302535	124.34203115192754	135.32564457152432	104.17040463319442	89.37299011428871	63.199606592141684	89.53763691416226	139.7591552225011	136.7631410250546	112.60190459224481	63.869125287726646	64.87699869519511	379.6236682465993	38.87513434424725	13.536040741198281	5.69071011247868	17.83104508915899	19.315443279780926	185.98261576468383	322.16917048724576	4792.729376179663	3015.9938435776603	
EPB41	21.98416942672382	67.00924562678722	15.209619881538739	235.33513863939123	12.293551016391136	385.63025506522774	240.814185063102	89.94208867574555	9.639752893972645	45.47875651461422	104.95051982277042	97.8029284184671	25.104568855523446	51.915516464876795	7.16548805218656	25.55686934853377	17.913411782682324	73.20980687369604	9.708024058133057	7.155722446084336	104.6317907181224	16.47488638497915	
EPHA1	47.029368313101536	46.76894575585867	52.033677177970915	400.0482873391629	763.4010714577228	292.8838925279885	35.76999194110741	57.883353213846846	61.830169438333336	43.93245365003976	155.7830488320754	99.21173157782792	63.801698218634186	58.118201634169964	45.61964119140537	38.90350150552905	60.84816880486169	58.6476075309848	39.163814469120595	38.694712672129285	56.735560255195864	71.4205994987703	
EPN2	46.908348809192155	42.21678293801993	109.43280430470081	31.508348578094854	64.62199465919095	96.20392388342349	50.11843442233043	55.41158071320936	62.364215672619245	17.84892931804651	31.97660477617019	27.9770538143885	32.43586908222123	32.22402237192017	30.741110318448737	22.481265944163344	59.1378714561957	31.56870199031211	43.97341672882777	70.25798406303055	554.8063767620256	51.26114265619647	
ETS1	988.8726693019694	792.2524044680329	410.31711873810536	613.4935899287975	287.8283832446025	1902.1894623525889	1261.517204913927	701.5416084537919	99.66586714414359	1031.179862075305	759.7185651621385	696.2669173487673	85.66933558203436	96.62991012123251	130.1202874934297	75.40388630003932	120.62215772692676	115.70214170887601	147.1300735812656	156.30046080737594	230.76341504154158	243.61317061972383	
ETV3	37.98662268039378	36.84623893543155	103.09521833760328	49.08454024447914	20.648686833649776	455.21174905389614	21.484279367681122	32.15562929832782	14.307370137385547	21.6189233887446	33.207162877949436	38.00908857702407	40.9567596190047	24.471914393990524	90.34410992511715	33.76856098235721	40.5255018499196	2091.702660837049	17.830282978913125	22.50028072293842	60.82035259419762	40.75588852066062	
FAIM3	11191.414467949411	8362.28855087071	254.09026428695532	5723.984822454453	8841.004837602663	5134.615328779949	1145.3605492815332	7380.970002654835	1866.7492566901494	4680.731681372913	2548.9037087088623	478.42016224717594	117.87106501117408	315.0175529200767	53.697610106485236	157.4129631712898	147.28317026769594	49.08029321616512	58.68422734794794	45.153252637490645	488.4465999175486	735.0353714002417	
FAM124B	21.670163538978855	15.408032553589624	18.92107732396874	14.048166964271921	17.180735162634594	20.500889610787205	16.267848136216934	16.06928085397664	10.758697473737362	13.180601609147327	20.025634850655706	18.18860699633265	29.159503687475265	19.331447800737763	9.129359328059309	22.79147186966418	16.615701421969717	11.264630009540703	473.0941251587742	126.87795464048787	96.5506537553263	19.729834143560613	
FAM174B	117.72268080576987	92.46718738048678	82.293860424277	94.16937409202751	137.020167455865	104.08819157751921	92.90928380721306	163.11535816050156	69.86697576724171	160.61692507714486	40.336000948467635	37.77736037018074	39.85052889429785	53.40511981488617	57.848768622122066	68.59561619365688	42.79765197392517	40.87114943856359	866.8101901743969	390.24982028160423	73.78985768264897	103.00500210633345	
FAM198B	9.80066418779474	16.438939279193733	9.140836633386288	4.526894400576926	30.53349636311352	8.45170014976708	5.598819436573045	13.631430646088427	54.276416572055055	20.582433152713033	23.76109790752233	10.274334591461184	515.2492919623013	519.5115002849234	36.63587145759701	398.22583844305797	563.7311539865294	45.53321990576973	34.90969039559975	48.357763419322865	58.1631976807263	8.88467941959916	
FAM212B	49.970145774038066	48.44610942473045	115.15327215219925	23.009816274738412	12.5553316797434	25.236261487840665	70.72102235040295	17.604794947274772	31.955949591582097	98.45119025802862	13.785077422018404	20.484816295771026	95.87273144006187	44.394900500966706	15.819313613836146	15.452660562440002	19.30988108268664	12.500840372451744	52.82638983038747	87.80595326391966	113.71068119578293	569.9349174740897	
FAM65B	4719.699579481667	5267.741472758358	237.5875517933149	3376.0933023418474	4454.485845927377	2808.159438956195	256.5379971230777	665.2076215305801	2376.6621131057277	910.887582256579	1586.7169958990107	696.5310083351645	2428.861545087255	92.82935444940466	193.0268710599443	86.87890187645603	136.20816343669276	126.2864185640993	187.47014070275645	170.8249765495606	2755.053484080123	8329.197426040493	
FASLG	342.8390554062358	274.6088915853877	188.93844003126082	169.2167793882315	144.07877786922396	140.8491762412463	478.98749377685397	126.74215677066998	600.2580033882754	171.4953464854273	1537.7237224017567	2218.049203994167	108.38309295332454	101.1502198153913	80.50952615061634	85.7825988254986	70.64960056385539	101.06674480625887	128.36277699676668	147.26789307591022	115.70683748909349	250.19265303628038	
FBXL8	7.713639432040304	3.515112115286737	15.057142044579834	91.19310135402944	53.47478762252399	313.05932064570504	66.28866702580301	53.28186175740492	47.42853704402857	99.56256587870307	12.813446423099299	32.60848090919262	43.10559260180726	14.500858496000099	148.2319801869224	114.73481368074265	67.36258689102569	55.64683088290042	7.7658873857853	6.318548033981791	4.60118806373983	8.576738644738679	
FCER1A	106.13511706437363	80.99986491807086	88.81589691143404	111.30109367750742	70.33336588306305	129.66732402643254	64.11513732055741	29.854023316996262	286.9014406791098	73.23250103776839	168.92219801621405	98.18855944565327	622.2119019157061	45.657428979134416	56.548696606879076	801.8866109343561	2215.3738867961547	88.29115521985818	4443.124585049749	4222.609307005644	2525.8415863416085	106.89802813250941	
FCER2	990.3077473154399	210.1913338274179	26.373869096425864	8.626141867158157	19.376741451583506	10.147863031303595	17.850218064086945	10.37726054662664	9.772859253562956	30.974947474778848	12.554327369157512	13.36812570899375	12.665275566851172	212.7516179231403	10.526178885940984	352.9280319154574	1104.1668012886596	98.25529771846237	13.539827998970807	16.263991745486535	31.529122472986018	11.25081202019749	
FCGR2B	3389.860599667939	4533.908057760977	2656.03774516066	65.97309417081097	8.2557980975988	30.698537554361113	59.921265228844085	108.55781049711992	121.01185369737644	127.10979243119608	119.94511620593667	181.48202262094165	287.63883685006607	991.9681696500812	311.3148819510656	1548.9435258615797	1529.233028328957	137.20361083794813	626.9589966595136	1610.3968798631013	645.927990470688	1302.127370949563	
FCGR3B	434.6883897734792	191.94238312703914	121.10907816017482	178.1993613937764	61.467490253974134	133.74482154183616	106.49828448410598	64.11513732055741	446.24501545684564	203.85052700871321	494.75604388692136	369.66069011380443	402.4458452367912	256.3156774482984	154.08220617041061	155.6717836680615	158.62019629004857	125.09833524005612	290.47150439876305	123.61496757046892	321.0470841464122	27546.966398150744	
FCN1	160.5487442506758	92.91123613198721	109.9311142151873	130.07546439326939	144.58833581824493	98.71765800733834	63.37271677535198	116.59790636413008	5094.70767982337	122.27147336305416	465.23360505145126	121.8089712916804	29800.42108345359	1401.0795747968716	306.82965466587314	593.095893890282	121.71940269506615	120.96336260291898	483.48042690777567	562.6779331666178	168.35682375124227	5370.355854880767	
FCRL2	4384.73716220602	3466.9530067830647	714.6372737597027	73.72214960048174	34.17485560521786	55.77947476990873	79.24179514669521	46.908348809192155	157.27904808312053	24.534537558312714	54.32604607592451	49.014585443554374	47.65634560371443	36.191374372598766	30.949416713840392	17.759003673198425	61.14907238462773	38.407319913876606	42.54800492994513	30.869693838075257	82.33991761314743	116.1844543486911	
FES	8.544430362316525	8.676013229062455	10.34392287175277	9.520155138058366	8.032047495718905	6.024967349055279	7.843078445920579	7.2623131010245485	97.09901245314637	8.504060286790128	211.8387969838808	258.84196503383095	826.5409485037485	41.657663925689434	20.94215824231398	982.200084543602	345.4158589988988	10.721013794122182	121.95914124938514	76.89948356177283	389.5499618380771	534.5825131115839	
FFAR2	12.838452236983366	15.543824909678047	20.156901708238237	11.77579288025125	11.928702052407198	15.893644270813683	16.942620881634994	14.981975081144911	24.458221398293954	28.272853996487644	73.96615141957783	13.441268341104308	101.05938003996819	31.012073315198588	454.55132727747724	87.81654143783894	17.74165651823133	16.51972225947324	76.33948281172438	89.3668369179668	1048.0917407439188	4025.755476882374	
FHIT	286.0949186063541	201.04122482020085	287.8283832446025	225.08245029186642	1613.7547189202191	282.11015092023166	118.04508874725549	112.77664032799603	122.52342788181974	235.46375193875818	147.2060302008108	122.69424854446856	130.08967569424698	140.37074831429368	104.60816570863685	181.22233841344382	106.48216595842385	120.61609813989031	147.48822148091602	134.52735969016632	197.59986678054997	140.78116470143044	
