,B Cell,Dendritic Cell,Lymphocyte,Monocyte,Multiple,Myeloid,NK Cell,Neutrophil,T Cell
262,,,236265_at,,239963_at,210754_s_at,,,
263,,,200889_s_at,,241418_at,202625_at,,,
264,,,200890_s_at,,236841_at,222670_s_at,,,
265,,,206118_at,,243495_s_at,218559_s_at,,,
266,,,213330_s_at,,239287_at,36711_at,,,
267,,,242774_at,,230917_at,216199_s_at,,,
268,,,226117_at,,221979_at,204089_x_at,,,
269,,,235020_at,,229041_s_at,201670_s_at,,,
270,,,220684_at,,212873_at,201668_x_at,,,
271,,,223274_at,,222001_x_at,227833_s_at,,,
272,,,213811_x_at,,244042_x_at,241722_x_at,,,
273,,,210776_x_at,,243489_at,226516_at,,,
274,,,206150_at,,238604_at,228532_at,,,
275,,,210865_at,,228328_at,225579_at,,,
276,,,211333_s_at,,240572_s_at,227080_at,,,
277,,,201291_s_at,,238790_at,223852_s_at,,,
278,,,221601_s_at,,222703_s_at,215223_s_at,,,
279,,,221602_s_at,,228066_at,221477_s_at,,,
280,,,217143_s_at,,227741_at,227983_at,,,
281,,,216191_s_at,,222235_s_at,230266_at,,,
282,,,213830_at,,226876_at,207890_s_at,,,
283,,,235425_at,,225699_at,204959_at,,,
284,,,230165_at,,238013_at,219666_at,,,
285,,,202589_at,,226970_at,230550_at,,,
286,,,225655_at,,212708_at,224358_s_at,,,
287,,,212144_at,,227952_at,209928_s_at,,,
288,,,244539_at,,242521_at,222529_at,,,
289,,,207628_s_at,,244669_at,222528_s_at,,,
290,,,241937_s_at,,227930_at,231274_s_at,,,
291,,,206366_x_at,,243509_at,242335_at,,,
292,,,214567_s_at,,239237_at,221920_s_at,,,
293,,,214032_at,,225994_at,231078_at,,,
294,,,242020_s_at,,243642_x_at,237568_at,,,
295,,,225634_at,,224549_x_at,202944_at,,,
296,,,213051_at,,234723_x_at,218231_at,,,
297,,,239231_at,,234773_x_at,223944_at,,,
298,,,242463_x_at,,234906_at,224771_at,,,
299,,,229551_x_at,,214958_s_at,231948_s_at,,,
300,,,227030_at,,204774_at,209949_at,,,
301,,,236301_at,,211742_s_at,211063_s_at,,,
302,,,,,227232_at,223158_s_at,,,
303,,,,,202345_s_at,243099_at,,,
304,,,,,218618_s_at,209930_s_at,,,
305,,,,,222693_at,203045_at,,,
306,,,,,229865_at,221210_s_at,,,
307,,,,,207186_s_at,221803_s_at,,,
308,,,,,238787_at,212298_at,,,
309,,,,,231769_at,222877_at,,,
310,,,,,211734_s_at,223510_at,,,
311,,,,,211395_x_at,203269_at,,,
312,,,,,210889_s_at,209073_s_at,,,
313,,,,,203646_at,202155_s_at,,,
314,,,,,227811_at,201364_s_at,,,
315,,,,,208438_s_at,238469_at,,,
316,,,,,222843_at,222586_s_at,,,
317,,,,,210786_s_at,230741_at,,,
318,,,,,229389_at,217738_at,,,
319,,,,,242388_x_at,236495_at,,,
320,,,,,229723_at,227458_at,,,
321,,,,,234050_at,223834_at,,,
322,,,,,228258_at,227200_at,,,
323,,,,,222527_s_at,206380_s_at,,,
324,,,,,230270_at,201118_at,,,
325,,,,,220731_s_at,222688_at,,,
326,,,,,222794_x_at,222689_at,,,
327,,,,,233873_x_at,209345_s_at,,,
328,,,,,229676_at,215832_x_at,,,
329,,,,,222642_s_at,215236_s_at,,,
330,,,,,236620_at,222218_s_at,,,
331,,,,,212794_s_at,219788_at,,,
332,,,,,233568_x_at,202392_s_at,,,
333,,,,,239893_at,201192_s_at,,,
334,,,,,213872_at,206214_at,,,
335,,,,,222458_s_at,240137_at,,,
336,,,,,222459_at,201411_s_at,,,
337,,,,,217893_s_at,236297_at,,,
338,,,,,208114_s_at,238455_at,,,
339,,,,,216153_x_at,227995_at,,,
340,,,,,206438_x_at,225373_at,,,
341,,,,,222464_s_at,225372_at,,,
342,,,,,222395_s_at,203063_at,,,
343,,,,,222850_s_at,200975_at,,,
344,,,,,235158_at,211661_x_at,,,
345,,,,,224321_at,204053_x_at,,,
346,,,,,228531_at,211711_s_at,,,
347,,,,,218802_at,204748_at,,,
348,,,,,229383_at,221840_at,,,
349,,,,,235385_at,208121_s_at,,,
350,,,,,227152_at,222981_s_at,,,
351,,,,,214693_x_at,203749_s_at,,,
352,,,,,215434_x_at,222810_s_at,,,
353,,,,,219033_at,240862_at,,,
354,,,,,244008_at,203185_at,,,
355,,,,,229982_at,230466_s_at,,,
356,,,,,222751_at,226436_at,,,
357,,,,,222745_s_at,49306_at,,,
358,,,,,219690_at,212398_at,,,
359,,,,,222753_s_at,239486_at,,,
360,,,,,222872_x_at,223809_at,,,
361,,,,,233085_s_at,209545_s_at,,,
362,,,,,212582_at,209882_at,,,
363,,,,,212585_at,243463_s_at,,,
364,,,,,227295_at,239843_at,,,
365,,,,,224574_at,230292_at,,,
366,,,,,32069_at,206111_at,,,
367,,,,,226074_at,201779_s_at,,,
368,,,,,238346_s_at,201780_s_at,,,
369,,,,,238429_at,225414_at,,,
370,,,,,235009_at,226542_at,,,
371,,,,,225468_at,238935_at,,,
372,,,,,230011_at,222514_at,,,
373,,,,,223663_at,205863_at,,,
374,,,,,242617_at,203535_at,,,
375,,,,,225761_at,218854_at,,,
376,,,,,238706_at,242230_at,,,
377,,,,,231866_at,204362_at,,,
378,,,,,230405_at,205241_at,,,
379,,,,,226603_at,227627_at,,,
380,,,,,235643_at,238567_at,,,
381,,,,,230036_at,225034_at,,,
382,,,,,243271_at,219386_s_at,,,
383,,,,,229764_at,219385_at,,,
384,,,,,201350_at,210423_s_at,,,
385,,,,,204789_at,203123_s_at,,,
386,,,,,213940_s_at,219593_at,,,
387,,,,,213729_at,202856_s_at,,,
388,,,,,214941_s_at,202855_s_at,,,
389,,,,,226347_at,220091_at,,,
390,,,,,218084_x_at,204204_at,,,
391,,,,,227266_s_at,234978_at,,,
392,,,,,211795_s_at,214830_at,,,
393,,,,,205285_s_at,228754_at,,,
394,,,,,216033_s_at,239474_at,,,
395,,,,,202275_at,209921_at,,,
396,,,,,218871_x_at,207528_s_at,,,
397,,,,,202269_x_at,217678_at,,,
398,,,,,202270_at,53912_at,,,
399,,,,,242907_at,220140_s_at,,,
400,,,,,229625_at,221561_at,,,
401,,,,,238581_at,216841_s_at,,,
402,,,,,210260_s_at,205312_at,,,
403,,,,,208296_x_at,226837_at,,,
404,,,,,226136_at,204150_at,,,
405,,,,,226142_at,209367_at,,,
406,,,,,214085_x_at,236224_at,,,
407,,,,,204222_s_at,236223_s_at,,,
408,,,,,223079_s_at,230621_at,,,
409,,,,,218913_s_at,201463_s_at,,,
410,,,,,229274_at,230052_s_at,,,
411,,,,,223488_s_at,236345_at,,,
412,,,,,224965_at,232383_at,,,
413,,,,,223887_at,201506_at,,,
414,,,,,214467_at,203167_at,,,
415,,,,,229055_at,229968_at,,,
416,,,,,223049_at,210176_at,,,
417,,,,,215075_s_at,204924_at,,,
418,,,,,215438_x_at,224341_x_at,,,
419,,,,,225433_at,232068_s_at,,,
420,,,,,213835_x_at,229560_at,,,
421,,,,,214501_s_at,238513_at,,,
422,,,,,229593_at,202510_s_at,,,
423,,,,,200853_at,206025_s_at,,,
424,,,,,213554_s_at,227060_at,,,
425,,,,,207651_at,205153_s_at,,,
426,,,,,235458_at,223502_s_at,,,
427,,,,,202957_at,223501_at,,,
428,,,,,223640_at,207196_s_at,,,
429,,,,,218603_at,235116_at,,,
430,,,,,238668_at,219434_at,,,
431,,,,,209734_at,219725_at,,,
432,,,,,229367_s_at,224933_s_at,,,
433,,,,,228071_at,201266_at,,,
434,,,,,227346_at,230413_s_at,,,
435,,,,,227344_at,211764_s_at,,,
436,,,,,232024_at,221765_at,,,
437,,,,,219243_at,225869_s_at,,,
438,,,,,212291_at,231990_at,,,
439,,,,,225115_at,210681_s_at,,,
440,,,,,211530_x_at,233559_s_at,,,
441,,,,,205671_s_at,205990_s_at,,,
442,,,,,213537_at,231227_at,,,
443,,,,,221491_x_at,203137_at,,,
444,,,,,208808_s_at,212860_at,,,
445,,,,,200014_s_at,235593_at,,,
446,,,,,200073_s_at,224806_at,,,
447,,,,,236000_s_at,239012_at,,,
448,,,,,208765_s_at,235549_at,,,
449,,,,,228725_x_at,,,,
450,,,,,208757_at,,,,
451,,,,,223559_s_at,,,,
452,,,,,226897_s_at,,,,
453,,,,,224567_x_at,,,,
454,,,,,202776_at,,,,
455,,,,,226711_at,,,,
456,,,,,204949_at,,,,
457,,,,,204057_at,,,,
458,,,,,242352_at,,,,
459,,,,,206342_x_at,,,,
460,,,,,218611_at,,,,
461,,,,,208965_s_at,,,,
462,,,,,209417_s_at,,,,
463,,,,,214453_s_at,,,,
464,,,,,217502_at,,,,
465,,,,,229450_at,,,,
466,,,,,204747_at,,,,
467,,,,,204785_x_at,,,,
468,,,,,230048_at,,,,
469,,,,,201393_s_at,,,,
470,,,,,201392_s_at,,,,
471,,,,,229067_at,,,,
472,,,,,204912_at,,,,
473,,,,,209827_s_at,,,,
474,,,,,205707_at,,,,
475,,,,,207072_at,,,,
476,,,,,237753_at,,,,
477,,,,,220054_at,,,,
478,,,,,211269_s_at,,,,
479,,,,,206341_at,,,,
480,,,,,204116_at,,,,
481,,,,,230966_at,,,,
482,,,,,203233_at,,,,
483,,,,,205798_at,,,,
484,,,,,202859_x_at,,,,
485,,,,,200052_s_at,,,,
486,,,,,244766_at,,,,
487,,,,,236401_at,,,,
488,,,,,236583_at,,,,
489,,,,,242787_at,,,,
490,,,,,203332_s_at,,,,
491,,,,,210840_s_at,,,,
492,,,,,213446_s_at,,,,
493,,,,,222633_at,,,,
494,,,,,222634_s_at,,,,
495,,,,,238725_at,,,,
496,,,,,203275_at,,,,
497,,,,,204562_at,,,,
498,,,,,239412_at,,,,
499,,,,,208436_s_at,,,,
500,,,,,33304_at,,,,
501,,,,,204698_at,,,,
502,,,,,243366_s_at,,,,
503,,,,,213416_at,,,,
504,,,,,205885_s_at,,,,
505,,,,,205884_at,,,,
506,,,,,213475_s_at,,,,
507,,,,,205786_s_at,,,,
508,,,,,202803_s_at,,,,
509,,,,,201648_at,,,,
510,,,,,239695_at,,,,
511,,,,,227677_at,,,,
512,,,,,224254_x_at,,,,
513,,,,,212492_s_at,,,,
514,,,,,201465_s_at,,,,
515,,,,,223584_s_at,,,,
516,,,,,223658_at,,,,
517,,,,,200616_s_at,,,,
518,,,,,212846_at,,,,
519,,,,,203279_at,,,,
520,,,,,230659_at,,,,
521,,,,,231989_s_at,,,,
522,,,,,229307_at,,,,
523,,,,,228996_at,,,,
524,,,,,234326_at,,,,
525,,,,,212577_at,,,,
526,,,,,212579_at,,,,
527,,,,,212569_at,,,,
528,,,,,36888_at,,,,
529,,,,,239413_at,,,,
530,,,,,223429_x_at,,,,
531,,,,,229354_at,,,,
532,,,,,235157_at,,,,
533,,,,,223254_s_at,,,,
534,,,,,227454_at,,,,
535,,,,,204220_at,,,,
536,,,,,225929_s_at,,,,
537,,,,,230000_at,,,,
538,,,,,225931_s_at,,,,
539,,,,,231956_at,,,,
540,,,,,241347_at,,,,
541,,,,,231899_at,,,,
542,,,,,224927_at,,,,
543,,,,,228953_at,,,,
544,,,,,227433_at,,,,
545,,,,,232687_at,,,,
546,,,,,203087_s_at,,,,
547,,,,,227740_at,,,,
548,,,,,235003_at,,,,
549,,,,,228167_at,,,,
550,,,,,211762_s_at,,,,
551,,,,,201088_at,,,,
552,,,,,213507_s_at,,,,
553,,,,,208974_x_at,,,,
554,,,,,208975_s_at,,,,
555,,,,,214352_s_at,,,,
556,,,,,229128_s_at,,,,
557,,,,,224944_at,,,,
558,,,,,201720_s_at,,,,
559,,,,,211005_at,,,,
560,,,,,209881_s_at,,,,
561,,,,,208885_at,,,,
562,,,,,205270_s_at,,,,
563,,,,,205269_at,,,,
564,,,,,244598_at,,,,
565,,,,,244556_at,,,,
566,,,,,201593_s_at,,,,
567,,,,,228762_at,,,,
568,,,,,229937_x_at,,,,
569,,,,,207198_s_at,,,,
570,,,,,235060_at,,,,
571,,,,,233500_x_at,,,,
572,,,,,235522_at,,,,
573,,,,,203320_at,,,,
574,,,,,219079_at,,,,
575,,,,,236027_at,,,,
576,,,,,226329_s_at,,,,
577,,,,,235177_at,,,,
578,,,,,225415_at,,,,
579,,,,,227599_at,,,,
580,,,,,225956_at,,,,
581,,,,,227954_at,,,,
582,,,,,227747_at,,,,
583,,,,,222443_s_at,,,,
584,,,,,235088_at,,,,
585,,,,,224751_at,,,,
586,,,,,238342_at,,,,
587,,,,,225231_at,,,,
588,,,,,225234_at,,,,
589,,,,,227749_at,,,,
590,,,,,228343_at,,,,
591,,,,,235661_at,,,,
592,,,,,232504_at,,,,
593,,,,,227017_at,,,,
594,,,,,238365_s_at,,,,
595,,,,,242520_s_at,,,,
596,,,,,240287_at,,,,
597,,,,,223491_at,,,,
598,,,,,226633_at,,,,
599,,,,,222846_at,,,,
600,,,,,219210_s_at,,,,
601,,,,,213142_x_at,,,,
602,,,,,211697_x_at,,,,
603,,,,,225282_at,,,,
604,,,,,244357_at,,,,
605,,,,,226641_at,,,,
606,,,,,228471_at,,,,
607,,,,,213315_x_at,,,,
608,,,,,212961_x_at,,,,
609,,,,,214112_s_at,,,,
610,,,,,224846_at,,,,
611,,,,,216250_s_at,,,,
612,,,,,35974_at,,,,
613,,,,,227391_x_at,,,,
614,,,,,201862_s_at,,,,
615,,,,,201861_s_at,,,,
616,,,,,90610_at,,,,
617,,,,,203523_at,,,,
618,,,,,207339_s_at,,,,
619,,,,,243852_at,,,,
620,,,,,205668_at,,,,
621,,,,,206584_at,,,,
622,,,,,212251_at,,,,
623,,,,,212250_at,,,,
624,,,,,212248_at,,,,
625,,,,,233936_s_at,,,,
626,,,,,200900_s_at,,,,
627,,,,,229327_s_at,,,,
628,,,,,222393_s_at,,,,
629,,,,,217745_s_at,,,,
630,,,,,231199_at,,,,
631,,,,,205105_at,,,,
632,,,,,235421_at,,,,
633,,,,,229846_s_at,,,,
634,,,,,213002_at,,,,
635,,,,,202484_s_at,,,,
636,,,,,209579_s_at,,,,
637,,,,,201152_s_at,,,,
638,,,,,201151_s_at,,,,
639,,,,,210136_at,,,,
640,,,,,225407_at,,,,
641,,,,,227012_at,,,,
642,,,,,214056_at,,,,
643,,,,,214057_at,,,,
644,,,,,216237_s_at,,,,
645,,,,,230110_at,,,,
646,,,,,239571_at,,,,
647,,,,,208262_x_at,,,,
648,,,,,204153_s_at,,,,
649,,,,,203102_s_at,,,,
650,,,,,225049_at,,,,
651,,,,,232077_s_at,,,,
652,,,,,223398_at,,,,
653,,,,,230448_at,,,,
654,,,,,226879_at,,,,
655,,,,,238430_x_at,,,,
656,,,,,243999_at,,,,
657,,,,,226725_at,,,,
658,,,,,225763_at,,,,
659,,,,,229670_at,,,,
660,,,,,226276_at,,,,
661,,,,,227726_at,,,,
662,,,,,226524_at,,,,
663,,,,,229174_at,,,,
664,,,,,228032_s_at,,,,
665,,,,,202153_s_at,,,,
666,,,,,218172_s_at,,,,
667,,,,,225707_at,,,,
668,,,,,230532_at,,,,
669,,,,,239186_at,,,,
670,,,,,225940_at,,,,
671,,,,,228248_at,,,,
672,,,,,226310_at,,,,
673,,,,,217992_s_at,,,,
674,,,,,218130_at,,,,
675,,,,,226905_at,,,,
676,,,,,225799_at,,,,
677,,,,,225834_at,,,,
678,,,,,226608_at,,,,
679,,,,,234949_at,,,,
680,,,,,242904_x_at,,,,
681,,,,,235868_at,,,,
682,,,,,222413_s_at,,,,
683,,,,,224311_s_at,,,,
684,,,,,225530_at,,,,
685,,,,,224247_s_at,,,,
686,,,,,240960_at,,,,
687,,,,,218499_at,,,,
688,,,,,201761_at,,,,
689,,,,,204994_at,,,,
690,,,,,215182_x_at,,,,
691,,,,,228098_s_at,,,,
692,,,,,223129_x_at,,,,
693,,,,,228097_at,,,,
694,,,,,220319_s_at,,,,
695,,,,,213733_at,,,,
696,,,,,244654_at,,,,
697,,,,,227799_at,,,,
698,,,,,243601_at,,,,
699,,,,,202943_s_at,,,,
700,,,,,224770_s_at,,,,
701,,,,,202905_x_at,,,,
702,,,,,202907_s_at,,,,
703,,,,,202906_s_at,,,,
704,,,,,225783_at,,,,
705,,,,,225791_at,,,,
706,,,,,204961_s_at,,,,
707,,,,,214084_x_at,,,,
708,,,,,204725_s_at,,,,
709,,,,,207700_s_at,,,,
710,,,,,209060_x_at,,,,
711,,,,,209062_x_at,,,,
712,,,,,209061_at,,,,
713,,,,,211352_s_at,,,,
714,,,,,227249_at,,,,
715,,,,,218414_s_at,,,,
716,,,,,222774_s_at,,,,
717,,,,,225137_at,,,,
718,,,,,209239_at,,,,
719,,,,,225921_at,,,,
720,,,,,202379_s_at,,,,
721,,,,,203964_at,,,,
722,,,,,201157_s_at,,,,
723,,,,,226474_at,,,,
724,,,,,204265_s_at,,,,
725,,,,,232431_at,,,,
726,,,,,216321_s_at,,,,
727,,,,,232149_s_at,,,,
728,,,,,202097_at,,,,
729,,,,,223984_s_at,,,,
730,,,,,204972_at,,,,
731,,,,,218400_at,,,,
