sample_id	gene_name	est_counts	tpm
1	NPAP1	17.7806	0.422923
1	NPAP1P2	3.67976	0.570925
1	NPAP1P3	4.71577	0.544287
1	NPAP1P4	3.0	0.15498
1	NPAP1P6	0.0	0.0
1	NPAP1P7	2.0	0.498028
1	NPAS1	16.99999	3.208718
1	NPAS2	8.020521	1.062524
1	NPAS3	5.0	0.1577025
1	NPAS4	6.0	0.412175
1	NPAT	1058.3242	58.8497
1	NPB	0.0	0.0
1	NPBWR1	1.0	0.0576424
1	NPBWR2	1.0	0.1267934
1	NPC1	516.68268	82.477444
1	NPC1L1	23.2489	0.740283
1	NPC2	278.999875207	77.880479348
1	NPDC1	0.0	0.0
1	NPEPL1	698.71558	44.793688
1	NPEPPS	1571.47049	183.587335
1	NPFF	0.0	0.0
1	NPFFR1	26.8737	0.524927
1	NPFFR2	3.09284	0.345032
1	NPHP1	29.57777	1.4261041
1	NPHP3	207.555878	15.331632
1	NPHP3-ACAD11	6.54489e-06	1.54323e-07
1	NPHP4	60.00002	2.42615
1	NPHS1	87.1244	8.15256
1	NPHS2	0.0	0.0
1	NPIPA1	816.56177	56.6913
1	NPIPA2	6.36684	1.20279
1	NPIPA3	5.51519	0.978246
1	NPIPA5	62.856	12.11
1	NPIPA7	75.4543	12.49845
1	NPIPA8	36.1155	6.239133
1	NPIPB11	96.566	7.37709
1	NPIPB15	41.97046	10.17553
1	NPIPB1P	0.0	0.0
1	NPIPB3	1514.737928	273.494463
1	NPIPB4	1037.2905193	661.31627716
1	NPIPB5	3919.290318	633.072297
1	NPIPB6	27.6644	2.72777
1	NPIPB7	3.26939	0.45204
1	NPIPB8	1.384	0.133951
1	NPIPB9	35.4997	3.45393
1	NPIPP1	42.8753	7.98718
1	NPL	21.82001	1.81389
1	NPLOC4	724.17272	41.228876
1	NPM1	2119.83503	637.98082
1	NPM1P10	0.0	0.0
1	NPM1P11	0.0	0.0
1	NPM1P12	0.0	0.0
1	NPM1P13	2.0	0.590107
1	NPM1P14	0.0	0.0
1	NPM1P17	0.758235	0.372429
1	NPM1P18	0.0	0.0
1	NPM1P19	0.0	0.0
1	NPM1P2	0.0	0.0
1	NPM1P21	2.0	0.713593
1	NPM1P22	0.0	0.0
1	NPM1P23	1.0	0.292967
1	NPM1P24	2.00582	0.563227
1	NPM1P25	4.03039	1.19419
1	NPM1P26	48.7692	17.5005
1	NPM1P27	0.0	0.0
1	NPM1P28	0.0	0.0
1	NPM1P29	1.0	0.310462
1	NPM1P30	0.0	0.0
1	NPM1P31	0.0	0.0
1	NPM1P32	0.0	0.0
1	NPM1P33	1.00731	0.287208
1	NPM1P34	0.0	0.0
1	NPM1P35	0.0	0.0
1	NPM1P36	0.0	0.0
1	NPM1P37	31.062	9.0713
1	NPM1P38	0.0	0.0
1	NPM1P39	1.02705	0.294158
1	NPM1P4	2.0	0.613719
1	NPM1P40	6.14043	2.18585
1	NPM1P41	0.0	0.0
1	NPM1P42	0.0	0.0
1	NPM1P43	0.0	0.0
1	NPM1P45	0.0	0.0
1	NPM1P46	0.0	0.0
1	NPM1P47	0.0	0.0
1	NPM1P48	0.0	0.0
1	NPM1P49	0.0	0.0
