gene_name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
AKAP6	28.580407994	17.77893	81.73419	45.79728600000001	30.599330000000002	76.479367	58.675896	19.255436	220.810351	22.78658	23.252093000000002	24.856378	39.73814	28.811723	34.71819	219.63295000000002	37.613	24.307185	24.70232	19.193957	67.51621300000001	22.750097999999998	16.01937	14.345357	25.25936	118.618951	53.76339	21.14378	46.118083999999996	14.38543	72.194672	13.656374000000001	41.654989	24.296210000000002	42.427472	24.717827	31.60532	21.7421	29.025663	32.358740000000004	20.99633	16.598570000000002	54.3951	34.8528	65.28668	50.88052	25.861249	43.057311	81.767537	34.7368	20.099510000000002	25.78087	49.068073999999996	103.53485	19.654336	56.2461	29.01204	33.548504	274.00876	30.147993999999997	47.2305232	63.982882	38.155626000000005
AKT3	903.99659	129.99994634	94.611346	300.58900869700005	492.29317	813.0753800000001	92.19660999999999	885.04828411	1158.8439340000002	531.30241	601.8806582999999	538.7084105208039	575.4677800000001	812.6021572812999	241.09356045999996	1160.9829000000002	661.9932299999999	369.5583116651	578.7558029999999	722.32776772668	509.92117529	766.6491745000001	500.01414	298.70768985	1234.94654	141.96885079	262.08565006899994	292.93508445000003	280.0835	368.32295000000005	230.27600999999999	596.253347755	473.23787999999996	448.99821145	612.478206	303.39923	999.1570029999999	612.8899	600.8313699999999	778.02146	325.47186000000005	608.0419	1011.7006516249999	357.1231923480999	666.37699025	573.1469409	886.7730234359999	967.6933952999998	901.1360583681729	812.9598	522.0170661533439	159.85066999999998	460.80782934448	74.16199036	503.58533909	319.03590959999997	485.99388076010297	279.12399	156.6399650328	437.8371320499999	954.0894099999999	707.6797119999999	882.5515696145
ALDH1B1	64.1003	14.2704	16.3579	25.5216	23.1066	125.22399999999999	14.9551	92.2325	59.5908	44.6939	49.4546	27.9008	28.1131	41.3194	40.7182	61.9822	22.9098	39.1406	33.3826	62.2477	24.3866	37.4607	35.3582	12.1844	76.9717	14.4598	10.9631	19.871	12.1637	38.7824	64.6685	25.0739	11.4725	19.2808	57.2463	20.5112	55.042	26.6145	42.356	48.1503	19.7506	24.3889	47.989	32.0249	76.4669	19.973	25.059	56.6182	40.547	71.1936	40.6509	13.0862	19.8507	12.0711	27.4663	87.3297	39.7607	25.7784	21.0667	33.1435	32.7694	79.6953	48.0016
ALPL	1.999999	6.999999	29.99996	63.00005	3.0	0.0	28.99996	1.0	1.0	8.0	1.9999959999999999	2.0	2.0	0.0	0.0	2.0	5.0	21.000000000000004	11.0	16.99996	126.99963627300001	1.0	5.000004047704301	3.0	6.000001	10.0	3.9999949999999997	3.0000000331755	44.000039443999995	2.0	94.00000999999999	2.0	6.0	273.0	3.0000020000000003	3.0000040131247996	5.0000029999999995	7.0	7.0	0.0	5.0	5.000003034854399	654.0004001064921	17.000000736196	1.000000138274	5.000003	6.0	610.9997000000001	1.0	0.0	5.000005	56.00001	1.0	10.000005000000002	1.0	48.999970000000005	12.99998	10.0	22.0	10.000002	3.0	1.0	4.0
ANK1	545.64937	9.749476760899999	14.732003409599999	28.42763	150.99075607293997	139.1794420451487	15.2988995587	199.925200130392	38.329262658299996	252.373	252.30928000000006	137.66264	363.72935	440.53679000000005	17.0000146973	27.562478778630002	126.55598	132.36528	139.12685	101.53568599999998	22.8526045345	269.05464	202.90265024999997	129.239527454	418.65613015398	16.08016	17.293239999999997	193.92390997	18.61318735122	290.862070917	164.84492719238997	607.1816666	97.65705999599999	14.4766586061	205.0692	139.49118999999996	1422.3711799999996	229.41899999999998	461.51792	8.5507200175891	87.24348799999999	39.72268081719999	56.90846569608	261.56654299999997	216.83826000000002	5.8953869999999995	7.997637000000001	46.909279999999995	29.460811274	298.12584	229.249305	12.244208	276.27458	12.0000057818	164.05647800000003	178.44911912369997	143.12	14.79071	20.01583204	309.0599940000001	87.990656714	11.45869	303.29474
ANKRD27	355.9997000000001	176.00022214	172.0004	228.56252000000003	159.99962899999997	513.99985	143.95325200000002	723.60993	188.0963	276.99964	336.48889399999996	140.54602599999998	288.51943000000006	413.52780899999993	132.99976	201.99988	215.00017	307.9996900000001	167.65284599999998	323.99953	322.99982	265.99998000000005	290.99955	301.00004	804.00035	233.00038999999998	132.21352799999997	236.51527015227398	205.61124999999998	246.00019	181.80033999999998	277.00044999999994	185.99958	179.15961	351.00016	234.175775	754.421270262731	319.11087	325.0868300000001	264.0005	262.47366	302.99998	487.57337000000007	245.99957000000003	384.00016	205.99984999999998	242.00047999999998	425.63037999999995	334.66905	418.00028	274.38948	182.99978	180.00034999999997	104.58434000000001	141.52528931630002	397.226120195557	172.99967	192.0444815	143.024381	230.99985	289.542193	376.00042	437.01907
ANKRD34B	0.0	0.0	0.0	0.0	0.0	0.0	1.999999	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	17.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	4.000002	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	14.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
ANP32B	2403.99643	518.98612	1057.99648	1581.7607500000001	1548.99302	3360.9983	669.99257	1908.99569	4996.99461	1659.86359	1829.9227	1760.0016999999998	1875.99064	3102.9982	778.8428399999999	5066.9967	2240.00065	1833.9991	1329.9997	2244.9872	1690.9924	1606.00129	1756.99992	2920.99756	2042.9978	1308.9877000000001	2275.9919600000003	1155.9952	1096.8522	1438.99584	445.9372900000001	1960.99952	1726.99484	873.68884	2518.99634	1876.00059	3246.99548	1720.9998699999999	1837.9984	1753.9975000000002	1851.0006799999999	1575.9879	2470.9905	2006.0022000000001	1934.99581	1028.99434	1538.9847	2394.7291	3372.9958	2104.9977	1660.9956	989.98594	1370.9989399999997	543.99974	1528.9863599999999	1587.64842	1318.9953600000001	2168.9993099999997	917.9997500000001	1247.0010800000002	1947.9962200000002	2731.9884	2551.9925999999996
ANXA2	600.086319	326.5081	290.23602	306.35207999999994	417.40858000000003	86.032291918	141.41085	851.0702499999999	68.77042399999999	901.2245200000002	859.94123	528.91254	706.2569399999999	733.0304729999999	21.000030175928	81.31798	532.96379	806.86821	310.128045	1205.0662100000002	126.86174	616.9259999999999	859.15027	1682.0992999999999	941.0163051999999	381.70581	46.03479	333.99978000000004	347.3575676020001	916.0134606209	110.08964000000002	546.1278979496001	439.22738	195.43641	1324.1773399999997	747.3473799999998	547.81241	894.07741	709.839514	239.01860000000005	824.6710400000001	808.2961300000001	859.9825500000001	703.8899200000001	147.01200599999999	143.27061999999998	47.05199	962.5912599999997	533.0076300000002	1035.2668	856.7578499999998	514.347721	391.0026619999998	80.07426000000001	510.04356	703.4494700000001	308.0298400000001	163.21175	78.8154269	550.7353519999998	474.03767999999997	37.0160400282261	856.172714
AP000859.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
