NAME	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	
CD8B	1.4300074512687067	1.6198887729756541	1.0284015191874754	5.189935610604522	190.76908056162378	10.967293424193109	1.028848900880487	3.2066345880952207	5.284093942701201	11.214076149539265	1037.5639301270794	818.6002084446932	2499.1369731450636	
CH25H	1.0201155826053334	1.0	1.0	8.274669364364026	4.163963765810247	1.0	1.0	1.311748816677508	1.0	9.760272692972615	2.845365584754144	1.4883716588070404	1.0	
CHI3L2	30.505035337875643	19.25512908305223	39.1686016395514	34.62922274177577	29.403170003809368	147.4170619419418	23.761494834107566	25.249925902257893	29.403170003809368	21.5297857772969	31.33589293152667	20.818925063311724	106.2700329228855	
CHIT1	43.113725401935355	28.358629670132736	65.88992380473792	12.123387098017961	9.653619834384648	15.593514270459755	7.149157805390268	10.252328648788035	6.505231354154725	11.82763343178966	10.78982969963075	8.689419915548475	13.145806173571795	
CR2	214.3672148459554	170.50845575352307	293.12925102016806	26.061232862978375	32.00472706528262	89.05951294494517	47.60294537454266	46.24012048786321	39.58885490528513	5.536724061438539	35.04587246361537	12.277815134397176	64.00576712361362	
CTLA4	2.0883429185951687	1.144219531317796	1.0	1108.8059262121033	637.9609537058072	249.0714253943426	375.23170295969226	637.9609537058072	159.31665915161594	3161.887758925623	225.07370905883045	131.53112644416595	106.2700329228855	
CTSW	56.15684169876642	67.7307858874255	54.08148162019518	95.01326276918032	323.9571584424831	136.7652457054612	186.03161920042302	56.570790329587496	58.82214931511869	91.46416489054019	367.9084711488227	1237.5942353565404	720.0414944268281	
CXCR6	18.04717648255918	8.382336581259034	12.277815134397176	53.23692521548447	141.632263691243	20.818925063311724	82.49538793114687	108.76147316205214	64.00576712361362	188.28843146850872	40.91020959169891	242.4313727707931	20.40956106349613	
CYBB	1345.5736139466203	1303.5950580894562	1359.4724530810934	2.0614137528052106	1.0222485608121554	27.13150240048323	4.485493061309451	6.212406574088855	83.88763042578496	1.0222485608121554	4.158215960020129	1.0222485608121554	1.0336545795216368	
DPP4	2.4347441578165157	1.3695874151160126	1.5050052682557937	263.3210099103477	336.6723298342918	671.2202220538444	472.21777399450207	720.0414944268281	775.0781106900231	83.88763042578496	204.16479426038342	238.43169351633418	168.7230178039597	
