Linux 3.16.0-4-amd64 (process-err431624-7ssxz) 	07/31/16 	_x86_64_	(4 CPU)

19:32:34        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:32:50        all     28.32      0.00      2.26      0.00      0.00      0.00      0.00      0.00      0.00     69.42
19:32:50          0      2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:50          1      5.05      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     93.94
19:32:50          2     98.02      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:50          3      7.22      0.00      5.15      0.00      0.00      0.00      0.00      0.00      0.00     87.63
19:32:51        all     27.30      0.00      2.73      0.00      0.00      0.00      0.00      0.00      0.00     69.98
19:32:51          0      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
19:32:51          1      0.98      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:32:51          2     97.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:51          3      9.90      0.00      4.95      0.00      0.00      0.00      0.00      0.00      0.00     85.15
19:32:52        all     27.66      0.00      3.05      0.00      0.00      0.00      0.00      0.00      0.00     69.29
19:32:52          0      2.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
19:32:52          1      3.03      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.97
19:32:52          2     95.05      0.00      4.95      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:52          3      7.45      0.00      6.38      0.00      0.00      0.00      0.00      0.00      0.00     86.17
19:32:53        all     27.79      0.00      3.23      0.00      0.00      0.00      0.00      0.00      0.00     68.98
19:32:53          0      1.98      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00     94.06
19:32:53          1      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
19:32:53          2     97.03      0.00      2.97      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:53          3     11.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00     85.00
19:32:54        all     26.01      0.00      3.28      0.00      0.00      0.00      0.00      0.00      0.00     70.71
19:32:54          0      0.99      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00     95.05
19:32:54          1      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
19:32:54          2     94.00      0.00      6.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:54          3      5.21      0.00      4.17      0.00      0.00      0.00      0.00      0.00      0.00     90.62
19:32:55        all     28.18      0.00      3.99      0.25      0.00      0.00      0.00      0.00      0.00     67.58
19:32:55          0      7.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     92.00
19:32:55          1      7.07      0.00      3.03      0.00      0.00      0.00      0.00      0.00      0.00     89.90
19:32:55          2     59.80      0.00      6.86      0.00      0.00      0.00      0.00      0.00      0.00     33.33
19:32:55          3     39.39      0.00      4.04      0.00      0.00      0.00      0.00      0.00      0.00     56.57
19:32:56        all     27.57      0.00      3.26      0.00      0.00      0.00      0.00      0.00      0.00     69.17
19:32:56          0      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:32:56          1      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
19:32:56          2     12.37      0.00      5.15      0.00      0.00      0.00      0.00      0.00      0.00     82.47
19:32:56          3     95.05      0.00      4.95      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:32:56        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:32:57        all     22.28      0.00      1.24      5.94      0.00      0.00      0.00      0.00      0.00     70.54
19:32:57          0      9.80      0.00      0.00      2.94      0.00      0.00      0.00      0.00      0.00     87.25
19:32:57          1      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
19:32:57          2     11.76      0.00      3.92      0.00      0.00      0.00      0.00      0.00      0.00     84.31
19:32:57          3     67.00      0.00      1.00     21.00      0.00      0.00      0.00      0.00      0.00     11.00
19:32:58        all      9.02      0.00      1.50     16.79      0.00      0.00      0.00      0.00      0.00     72.68
19:32:58          0     31.00      0.00      2.00     67.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:58          1      1.03      0.00      1.03      0.00      0.00      0.00      0.00      0.00      0.00     97.94
19:32:58          2      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:58          3      1.98      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     97.03
19:32:59        all      0.25      0.00      1.00     24.69      0.00      0.00      0.00      0.00      0.00     74.06
19:32:59          0      0.00      0.00      1.00     99.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:59          1      0.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:59          2      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:32:59          3      0.00      0.00      1.96      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:33:00        all      8.96      0.00      1.49     18.16      0.00      0.00      0.25      0.00      0.00     71.14
19:33:00          0     26.00      0.00      1.00     73.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:00          1      5.94      0.00      2.97      0.00      0.00      0.00      0.00      0.00      0.00     91.09
19:33:00          2      3.96      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     94.06
19:33:00          3      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:33:01        all     16.83      0.00      2.01     10.05      0.00      0.00      0.00      0.00      0.00     71.11
19:33:01          0     56.00      0.00      4.00     40.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:01          1      8.25      0.00      2.06      0.00      0.00      0.00      0.00      0.00      0.00     89.69
19:33:01          2      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:33:01          3      0.99      0.00      0.99      0.00      0.00      0.00      0.99      0.00      0.00     97.03
19:33:02        all     16.54      0.00      2.01     10.03      0.00      0.00      0.00      0.00      0.00     71.43
19:33:02          0     58.82      0.00      1.96     39.22      0.00      0.00      0.00      0.00      0.00      0.00
19:33:02          1      3.92      0.00      3.92      0.00      0.00      0.00      0.98      0.00      0.00     91.18
19:33:02          2      1.98      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00     94.06
19:33:02          3      1.03      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.97
19:33:03        all     17.50      0.00      1.25      8.50      0.00      0.00      0.00      0.00      0.00     72.75
19:33:03          0     65.00      0.00      1.00     34.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:03          1      4.12      0.00      1.03      0.00      0.00      0.00      0.00      0.00      0.00     94.85
19:33:03          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:33:03          3      0.98      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:33:04        all     17.22      0.00      2.53      9.11      0.00      0.00      0.00      0.00      0.00     71.14
19:33:04          0     61.39      0.00      2.97     35.64      0.00      0.00      0.00      0.00      0.00      0.00
19:33:04          1      4.21      0.00      3.16      0.00      0.00      0.00      0.00      0.00      0.00     92.63
19:33:04          2      1.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
19:33:04          3      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
19:33:05        all     11.19      0.00      2.24     15.42      0.00      0.00      0.25      0.00      0.00     70.90
19:33:05          0     35.64      0.00      2.97     61.39      0.00      0.00      0.00      0.00      0.00      0.00
19:33:05          1      2.04      0.00      2.04      0.00      0.00      0.00      0.00      0.00      0.00     95.92
19:33:05          2      2.94      0.00      1.96      0.00      0.00      0.00      0.00      0.00      0.00     95.10
19:33:05          3      4.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     94.00
19:33:06        all      8.52      0.00      1.25     17.54      0.00      0.00      0.00      0.00      0.00     72.68
19:33:06          0     27.72      0.00      2.97     69.31      0.00      0.00      0.00      0.00      0.00      0.00
19:33:06          1      3.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     94.00
19:33:06          2      2.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.98
19:33:06          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:33:07        all     15.71      0.00      2.24     10.72      0.00      0.00      0.00      0.00      0.00     71.32
19:33:07          0     55.00      0.00      2.00     43.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:07          1      4.04      0.00      3.03      0.00      0.00      0.00      0.00      0.00      0.00     92.93
19:33:07          2      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
19:33:07          3      1.98      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     96.04

19:33:07        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:33:08        all      0.50      0.00      0.75     24.88      0.00      0.00      0.00      0.00      0.00     73.88
19:33:08          0      0.00      0.00      0.99     99.01      0.00      0.00      0.00      0.00      0.00      0.00
19:33:08          1      0.98      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:33:08          2      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:33:08          3      1.96      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:33:09        all     21.45      0.00      2.00      5.74      0.00      0.00      0.25      0.00      0.00     70.57
19:33:09          0     75.49      0.00      1.96     22.55      0.00      0.00      0.00      0.00      0.00      0.00
19:33:09          1      6.19      0.00      3.09      0.00      0.00      0.00      0.00      0.00      0.00     90.72
19:33:09          2      1.96      0.00      1.96      0.00      0.00      0.00      0.00      0.00      0.00     96.08
19:33:09          3      1.01      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     96.97
19:33:10        all     29.57      0.00      2.76      0.00      0.00      0.00      0.25      0.00      0.00     67.42
19:33:10          0     84.69      0.00      4.08      0.00      0.00      0.00      0.00      0.00      0.00     11.22
19:33:10          1     25.74      0.00      2.97      0.00      0.00      0.00      0.00      0.00      0.00     71.29
19:33:10          2      4.95      0.00      2.97      0.00      0.00      0.00      0.99      0.00      0.00     91.09
19:33:10          3      3.03      0.00      1.01      1.01      0.00      0.00      1.01      0.00      0.00     93.94
19:33:11        all     16.29      0.00      1.25     10.03      0.00      0.00      0.00      0.00      0.00     72.43
19:33:11          0      7.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     92.00
19:33:11          1     57.43      0.00      2.97     39.60      0.00      0.00      0.00      0.00      0.00      0.00
19:33:11          2      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:33:11          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:33:12        all      4.20      0.00      1.73     21.98      0.00      0.00      0.00      0.00      0.00     72.10
19:33:12          0      1.96      0.00      1.96      0.00      0.00      0.00      0.00      0.00      0.00     96.08
19:33:12          1     10.89      0.00      0.99     88.12      0.00      0.00      0.00      0.00      0.00      0.00
19:33:12          2      1.98      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     96.04
19:33:12          3      1.96      0.00      2.94      0.00      0.00      0.00      0.00      0.00      0.00     95.10
19:33:13        all      6.47      0.00      0.50     19.65      0.00      0.00      0.00      0.00      0.00     73.38
19:33:13          0      1.96      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     97.06
19:33:13          1     21.00      0.00      1.00     78.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:13          2      2.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.96
19:33:13          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:33:14        all      2.99      0.00      1.00     22.94      0.00      0.00      0.00      0.00      0.00     73.07
19:33:14          0      1.98      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     96.04
19:33:14          1      7.00      0.00      0.00     93.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:14          2      1.98      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     97.03
19:33:14          3      1.98      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     97.03
19:33:15        all     10.72      0.00      1.75     17.21      0.00      0.00      0.00      0.00      0.00     70.32
19:33:15          0      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
19:33:15          1     31.00      0.00      1.00     68.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:15          2      4.08      0.00      3.06      0.00      0.00      0.00      0.00      0.00      0.00     92.86
19:33:15          3      4.04      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     94.95
19:33:16        all      0.25      0.00      2.00     24.94      0.00      0.00      0.00      0.00      0.00     72.82
19:33:16          0      0.98      0.00      5.88      0.00      0.00      0.00      0.00      0.00      0.00     93.14
19:33:16          1      0.00      0.00      0.00    100.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:16          2      0.99      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     97.03
19:33:16          3      0.98      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:33:17        all      4.76      0.00      1.25     20.80      0.00      0.00      0.00      0.00      0.00     73.18
19:33:17          0      0.00      0.00      1.02      0.00      0.00      0.00      0.00      0.00      0.00     98.98
19:33:17          1     16.67      0.00      0.98     82.35      0.00      0.00      0.00      0.00      0.00      0.00
19:33:17          2      1.01      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     96.97
19:33:17          3      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:33:18        all      0.50      0.00      1.00     24.88      0.00      0.00      0.00      0.00      0.00     73.63
19:33:18          0      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
19:33:18          1      0.99      0.00      0.99     98.02      0.00      0.00      0.00      0.00      0.00      0.00
19:33:18          2      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:33:18          3      0.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00

19:33:18        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:33:19        all      1.75      0.00      0.50     23.50      0.00      0.00      0.00      0.00      0.00     74.25
19:33:19          0      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:33:19          1      5.00      0.00      1.00     94.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:19          2      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:33:19          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:33:20        all      7.02      0.00      1.50     19.55      0.00      0.00      0.00      0.00      0.00     71.93
19:33:20          0      4.90      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     94.12
19:33:20          1     21.00      0.00      1.00     78.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:20          2      1.98      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00     94.06
19:33:20          3      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
19:33:21        all      1.65      0.00      0.83     23.76      0.00      0.00      0.17      0.00      0.00     73.60
19:33:21          0      1.32      0.00      0.66      0.00      0.00      0.00      0.00      0.00      0.00     98.03
